"state","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"North Dakota",57.2,49.7,49.2,45.7,46.3,49.5,50.1,45.4,41.4,41.7,43.6,46.9,46.3,49.2,56.9,51.4,48.1,48.1,52.5,68.7,50.5,50.5,49.7
"Ohio",52.8,44.8,40.6,41,47.3,45.1,43.9,42.1,36.5,34.3,33.5,33.5,38.4,37.9,46.2,46.6,40.9,46.2,44.7,58.2,45,45.7,44.1
"Oklahoma",55.1,51.3,49.7,48.2,48.6,52.3,51.6,44.8,41,39.5,41,40.2,43,43.8,44.7,46.6,45.3,52.9,52.6,57.9,52.8,52.7,51.4
"Oregon",54.9,53.4,51.7,51.2,54,52.9,50.6,56.2,45.3,40.4,41.5,39.1,42.2,40.3,42.3,42.4,45.4,48.6,53.5,64.3,50.1,49.1,45.3
"Pennsylvania",41.6,42.4,38.5,41.6,42.2,40.6,38.4,37.6,37.6,36.2,31.9,36.5,35.2,38.3,40,41,44.6,40.2,39.1,54.1,39.3,37.7,36.4
"Rhode Island",50.3,45.5,42.8,47.1,45.2,44.3,43,45.4,41.1,39.7,36.4,37.5,37.4,36.8,39,40.7,43.8,42.7,44.9,62.1,47.1,48.1,45.2
"South Carolina",50.1,45.2,44.7,49.2,52.5,53.8,49.2,47.2,45.5,39.9,42.7,41.3,40.6,47.1,46.8,48.7,50.2,50.6,55.1,59.8,53.2,54.5,52.1
"South Dakota",58.1,50.1,48.4,48.1,49.8,48.7,49,44.3,40.5,41.1,40.1,39.7,40.6,42.7,43.9,45,44.1,48.3,45.8,53.9,45.6,46.4,46.8
"Tennessee",51.5,47.6,46.4,44.2,44.1,48.7,48.3,47.3,40.5,39.8,41,46.1,44.5,42.8,44.9,48.5,45.3,53.6,46.3,60.8,55.6,58.2,49.3
"Texas",49.1,48.8,45.3,47.6,47,47.9,47.8,48.1,43,39.5,40.3,41.8,42,46.7,47.7,49.1,51.1,52.7,49.7,57.4,49.9,49.9,47.9
"US Average",48.8,45,43.8,44.1,45.8,46,45.6,43.7,39.6,37.3,37.6,38,38.4,40.2,42.4,42.7,43.4,44.6,45,57,47.1,47.5,43.6
"Utah",52.9,53.6,51.1,53,51,50.5,54.5,52,47.2,41.5,42.7,42.8,44.7,41.9,42.8,46.9,55.5,61,55.9,53.1,49.1,50,47.5
"Vermont",57.9,55.5,55.1,55.6,53.1,52.3,49.8,51.3,48.3,47.4,43,43.1,45.1,43.6,48.2,48.8,48.9,47.3,46.9,62.8,49.9,48.4,44.4
"Virginia",47.5,47.1,49.8,45.9,43.1,44.6,41.8,40.3,36.8,35.9,39,37.9,37.5,39.4,41.7,39.2,42.7,39,44.5,50.5,43.9,46.4,46.9
"Washington",53.8,48.8,43.4,45.5,49.9,46,43.7,51.6,44.2,35.7,37,33.7,34.9,36.3,39.7,39.2,37.7,41.5,43.4,52.4,38.3,43.4,37.5
"West Virginia",51.9,55,52.5,55.6,52.2,52.1,51.5,47.4,43.3,40,41.5,44.8,44.8,47.7,45.7,47.6,50.3,52.2,54.1,63.1,55.1,58.3,54.5
"Wisconsin",47.3,39.3,37.7,37.8,38.5,39,43.8,42.5,39.4,37,36.7,38.4,35.8,39.7,41.8,42,38.6,41.6,42,52.2,42.6,43.4,41.5
"Wyoming",68.3,68.8,64.1,64.8,68.1,63.3,62.6,63.7,58,48.4,47.7,55,54.5,53,60.6,58.2,55.4,57.6,65,65.8,62.5,64.6,55.7
