"state","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Alabama",0.383551175882072,0.366681042253877,0.391279773430996,0.38997142225888,0.39637048128095,0.397639467709838,0.386239705732462,0.358705711830636,0.319754744435574,0.318311065292399,0.330161564456615,0.33983300187267,0.327413771567328,0.315474268929595,0.339794007297895,0.349336864709711,0.365308774614669,0.369943118573727,0.371205987897017,0.407816556533524,0.423416652080502,0.427636731792661,0.39059913626821
"Alaska",0.562071924845842,0.548048115851272,0.544929640589696,0.55153322762719,0.565522180473556,0.533569221318863,0.522254859000287,0.499174405182984,0.474522906491384,0.446802070828837,0.451087235159591,0.466656790067277,0.474474934539376,0.48215526058828,0.503878812744207,0.506520328020707,0.497544655001744,0.516967487624334,0.543490553855779,0.535730855054014,0.524778074284704,0.553919189117619,0.499659683725146
"Arizona",0.421901984779513,0.407643108330718,0.40756227221698,0.386866290522575,0.402649742392211,0.396986701283912,0.427093492123412,0.422341344543524,0.371404693096733,0.333701198371135,0.339188753301165,0.333688709180841,0.366675602757091,0.39063931920884,0.386882375306113,0.36939069642593,0.428969000042466,0.405107264418058,0.390680614367312,0.426252401077246,0.396881044712276,0.429584932815908,0.398900374526772
"Arkansas",0.408147006470503,0.389445580291657,0.391939952568831,0.387404089030212,0.396293330973296,0.41122526729166,0.399435774788489,0.371277930439986,0.345273879645365,0.327473570360048,0.34121897876547,0.32883591571446,0.335757272550173,0.352763155948139,0.352046370689277,0.35680721324426,0.384286850531859,0.398231284101504,0.400737524052049,0.433509640631102,0.422924868441222,0.422798035584684,0.400018994471965
"California",0.378460865694555,0.355373904708279,0.354001846273656,0.360009420239314,0.356014279841342,0.373177812087913,0.353335830888024,0.334280197487242,0.323252915910834,0.290309668325092,0.288863633671318,0.298289602529381,0.307662664198544,0.320380228197955,0.330849373756204,0.328062789976629,0.318289185941469,0.329432493955596,0.350639138875626,0.43380063457566,0.350672647860081,0.352002608351415,0.318267486890715
"Colorado",0.459912605619686,0.453557651305396,0.422199359776987,0.435525272919172,0.433066670573817,0.412542742406653,0.429630077311417,0.395621063315705,0.365361532303835,0.359527376154622,0.336406974912313,0.324730004911905,0.38820724096656,0.394361979005386,0.403150398343135,0.437210397010315,0.378559144804677,0.407615347973127,0.396383264910848,0.499501200521774,0.42456328287095,0.416092763763706,0.354028370749458
"Connecticut",0.339899214956333,0.320574916805655,0.326786965685388,0.339251905931004,0.318424039836041,0.330923515976792,0.330942333238666,0.324703199645404,0.316206344602006,0.288923087446457,0.260592927367171,0.25297814099063,0.261402458862925,0.274876587850072,0.283281012809713,0.307089085259208,0.324608729167617,0.286765489345801,0.309813899687784,0.429413644566028,0.321185099635893,0.33643999791031,0.323889888645448
"Delaware",0.429802242422878,0.424225561807518,0.426666396933621,0.422464107047239,0.407088035681929,0.422269514477014,0.415979703095432,0.395037808365017,0.353401741352849,0.340527636310336,0.37521712574285,0.368709145251973,0.370112487804384,0.375926567578688,0.40344627907109,0.388117925981211,0.404407118195974,0.410000136873866,0.420402090791701,0.467253818582134,0.433145748478465,0.450687474316654,0.42009415491654
"Florida",0.318022676186365,0.27573219464711,0.299192737998962,0.290402041061871,0.288868194900405,0.314200625238212,0.301294910693072,0.266674948194001,0.259805751707061,0.234390742732981,0.251455027893409,0.242933799057472,0.242159590805892,0.257532362278804,0.243696666464037,0.260660184018422,0.274167110727912,0.28088019396884,0.288955055180545,0.343918559135736,0.284424716638051,0.329514281535502,0.312032979156939
"Georgia",0.374607213416201,0.369290885777219,0.39122134360093,0.372526802972857,0.395662893275702,0.43889272308869,0.420999085975204,0.395606884355968,0.332254843965828,0.313301690229112,0.336357593789549,0.341813330536521,0.33498851865777,0.349275227054991,0.377135171365146,0.332970435486084,0.346622013276355,0.351295315371895,0.369902047106447,0.444432449635021,0.39560660992584,0.415575186560297,0.393080469881046
"Hawaii",0.362952218309473,0.336478789942711,0.337830797763583,0.336504551975207,0.359557654989452,0.33163644033803,0.340695410976295,0.3384943568124,0.298399309364866,0.284545903221539,0.281545123138216,0.281565885538553,0.292599995717936,0.299893953999449,0.323921718453275,0.357024880127136,0.321245372658936,0.329533068260733,0.368170152816825,0.498540833025174,0.359490387595891,0.341304028952589,0.329044110997975
"Idaho",0.453145517484208,0.437884914454884,0.431326421338284,0.426478917326845,0.437831415132679,0.424595571743559,0.439591848810103,0.448867041585963,0.400752726168399,0.380358961658952,0.382302058923702,0.391884398932437,0.398855431982322,0.393206995646095,0.393120625298117,0.388064501527443,0.383667647743774,0.402594293118562,0.42647941048224,0.467140960614358,0.437301175138014,0.453054020743132,0.42901096817236
"Illinois",0.371994852093311,0.339830958130187,0.320397614906104,0.343917840977923,0.338420017563547,0.338442745732046,0.37186709807897,0.317606901188305,0.297602966961511,0.291803508003049,0.29035689921704,0.282975887408404,0.297656807541837,0.330265346963083,0.323225621394083,0.35205770717138,0.362736859344316,0.352060011835954,0.323227059942801,0.453291989639866,0.385430410895321,0.369223926647884,0.339104307090957
"Indiana",0.405846566358948,0.347255655872898,0.344542225871824,0.36348091058908,0.387473287306465,0.374501241383383,0.380981115029551,0.360752835859926,0.317576269009539,0.335119639988713,0.368017238963013,0.403888949104939,0.308389543514403,0.326704779109082,0.335723203490743,0.350010445275155,0.364704784604083,0.419234146061812,0.424724798237225,0.478772124997262,0.413139647736352,0.399421914267175,0.384202614261872
"Iowa",0.407536782302344,0.343942695702075,0.325296208758468,0.322500424435915,0.333594027760766,0.345949352956891,0.346620784954248,0.332980480713024,0.332937622717517,0.323305815837058,0.312712445363084,0.307769686997414,0.291869443523579,0.299084510783135,0.323942153975565,0.330878136782131,0.329512794053191,0.345326996224898,0.350060926582087,0.412767542120728,0.375161176685366,0.369973029590986,0.356732708236886
"Kansas",0.4070473397526,0.382493108183794,0.351382578041001,0.334348741254686,0.361492075191452,0.369297463489405,0.385555428796522,0.37002499919359,0.323974668912099,0.321827292450882,0.319110291584072,0.31130421921528,0.305611436538433,0.311968652113682,0.336362543181026,0.364062673401119,0.3688327744161,0.373221676373333,0.36136340821102,0.404632902758239,0.368665983340368,0.36336266485073,0.355460811925542
"Kentucky",0.429053657062193,0.381719808704602,0.384842958390356,0.386104443012751,0.401995999799121,0.414322124914345,0.431256117242776,0.391862278440785,0.339149932326412,0.32671696996548,0.35273072639072,0.3472789300313,0.347325947286421,0.383593248854946,0.373922558502853,0.367295774358289,0.393814514131984,0.398778905068741,0.386081248593491,0.48536759284962,0.453565549267479,0.428248555218777,0.395067446663999
"Louisiana",0.41210464547185,0.397643603846399,0.388074639434271,0.409450695502268,0.479597552298393,0.429561306763312,0.435546345534555,0.391940827590332,0.357524927545226,0.332350071440122,0.344654547823623,0.358083367971433,0.341209611752276,0.365388116817968,0.391218346142891,0.391945710754603,0.411824084111979,0.396880270287205,0.427619392012179,0.46966629407913,0.431287124776627,0.437098445975226,0.440149161454928
"Maine",0.429051204518791,0.416380188882674,0.418131389716487,0.409545464131534,0.40406493535925,0.385017542501607,0.372064801002942,0.376510083450237,0.375811045460034,0.371946886540347,0.321173123271422,0.338480233008261,0.355564411681602,0.359543213734496,0.359599494843763,0.371425696405343,0.373403349659986,0.379824060224375,0.360861352362784,0.427951312689415,0.381777984669112,0.367351591333361,0.375985679583136
"Maryland",0.368068603854257,0.36935932786248,0.379750775307567,0.385556341605988,0.386214778231887,0.352755095080423,0.344659548732526,0.326698068428843,0.350110053349185,0.325435369376316,0.302001133994798,0.299779473510135,0.300501967252612,0.306998077036137,0.304115990097646,0.320463454700862,0.349380949891288,0.352036653076708,0.367329289707377,0.40266204111335,0.328178883969662,0.396292265521547,0.372641929635311
